H 423,//,,,,,,,,
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-02-12 11:41:37,create,3b - uppgift 5,1,,,3,,,0m 24.0s
2021-02-12 11:37:10,create,3b - uppgift 5,7,,,21,,,4m 19.3s
2021-02-12 11:34:35,create,3b - uppgift 8,6,,,18,,,2m 31.8s
2021-02-12 11:32:23,create,3b - uppgift 7,6,,,18,,,2m 9.1s
2021-02-12 11:30:41,create,3b - uppgift 4,5,,,15,,,1m 38.5s
2021-02-09 09:31:19,create,3a - uppgift 4,1,,,3,,,0m 17.3s
2021-02-09 09:28:07,create,3a - uppgift 3,8,,,24,,,3m 7.3s
2021-02-08 13:59:20,create,3a - uppgift 4,1,,,3,,,88m 33.8s
2021-02-08 13:57:41,create,3a - uppgift 5,4,,,12,,,1m 36.7s
2021-02-08 13:56:47,create,3a - uppgift 3,2,,,6,,,0m 52.0s
2021-02-08 13:56:39,create,3a - uppgift 12,0,,,0,,,0m 0.2s
2021-02-08 13:55:37,create,3a - uppgift 4,2,,,6,,,0m 58.9s
2021-02-08 13:55:33,create,3a - uppgift 5,0,,,0,,,0m 2.0s
2021-02-08 13:55:28,create,4 - uppgift 5,0,,,0,,,0m 1.2s
2021-02-05 11:33:44,create,3a - uppgift 6,6,,,18,,,2m 28.6s
2021-02-05 11:33:07,create,4 - uppgift 4,1,,,3,,,0m 28.9s
2021-02-02 14:00:30,create,3a - uppgift 2,8,,,24,,,3m 20.7s
2021-02-02 14:00:28,create,3a - uppgift 1,0,,,0,,,0m 1.1s
2021-02-02 13:56:01,create,3a - uppgift 1,11,,,33,,,4m 25.5s
2021-02-01 14:10:08,create,2 - uppgift 5,13,,,26,,,3m 37.5s
2021-02-01 11:22:32,create,2 - uppgift 6,1,,,2,,,39m 15.4s
2021-01-29 11:47:35,create,2 - uppgift 6,6,,,12,,,235m 39.5s
2021-01-29 11:46:54,create,2 - uppgift 6,2,,,4,,,0m 39.3s
2021-01-29 11:46:34,create,2 - uppgift 4,0,,,0,,,0m 1.7s
2021-01-29 11:46:29,create,2 - uppgift 6,0,,,0,,,0m 5.0s
2021-01-29 11:46:13,create,2 - uppgift 6,1,,,2,,,0m 15.2s
2021-01-29 11:45:53,create,2 - uppgift 6,1,,,2,,,0m 18.4s
2021-01-26 13:52:05,create,2 - uppgift 3,35,,,70,,,270m 20.4s
2021-01-26 13:47:39,create,2 - uppgift 2,13,,,26,,,4m 24.6s
2021-01-22 13:04:48,create,1 - uppgift 2,1,,,1,,,0m 19.9s
2021-01-22 13:04:46,create,1 - uppgift 1,0,,,0,,,0m 1.2s
2021-01-22 13:04:41,create,1 - uppgift 1,0,,,0,,,0m 1.5s
2021-01-22 11:46:10,create,1 - uppgift 4,5,,,5,,,17m 16.1s
2021-01-22 11:43:56,create,1 - uppgift 3,10,,,10,,,2m 11.8s
2021-01-22 11:39:08,create,1 - uppgift 2,20,,,20,,,4m 47.5s
2021-01-22 11:37:47,create,1 - uppgift 1,4,,,4,,,1m 19.5s
